Season,Week,Contestant,Judge_Score_Raw,Reconstructed_Vote_Share,Result_Status,Is_Eliminated
3,3,Willa Ford,22.0,0.10423689216469795,Eliminated Week 5,False
3,3,Sara Evans,25.0,0.12808973823166261,Withdrew,False
3,3,Jerry Springer,21.0,0.10263116915496584,Eliminated Week 7,False
3,4,Vivica A. Fox,24.0,0.07248632273201783,Eliminated Week 4,True
3,4,Monique Coleman,24.0,0.12487275709340886,Eliminated Week 8,False
3,4,Joey Lawrence,27.0,0.14347223534540796,3rd Place,False
3,4,Mario Lopez,29.0,0.16250190840818948,2nd Place,False
3,4,Emmitt Smith,24.0,0.12249850909305586,1st Place,False
3,4,Willa Ford,28.0,0.1382665309547934,Eliminated Week 5,False
3,4,Sara Evans,20.0,0.13310238333807844,Withdrew,False
3,4,Jerry Springer,22.0,0.10279935303504813,Eliminated Week 7,False
3,5,Monique Coleman,27.0,0.16504920480413313,Eliminated Week 8,False
3,5,Joey Lawrence,25.0,0.13915236882687437,3rd Place,False
3,5,Mario Lopez,27.0,0.13295159781334817,2nd Place,False
3,5,Emmitt Smith,27.0,0.15477788969275094,1st Place,False
3,5,Willa Ford,27.0,0.04077821771620253,Eliminated Week 5,True
3,5,Sara Evans,24.0,0.1836453605733454,Withdrew,False
3,5,Jerry Springer,24.0,0.1836453605733454,Eliminated Week 7,False
3,7,Monique Coleman,27.0,0.2229653812715979,Eliminated Week 8,False
3,7,Joey Lawrence,28.5,0.19091741954073418,3rd Place,False
3,7,Mario Lopez,28.0,0.2272966584794684,2nd Place,False
3,7,Emmitt Smith,28.5,0.21828602606534817,1st Place,False
3,7,Jerry Springer,23.0,0.14053451464285127,Eliminated Week 7,True
3,8,Monique Coleman,26.5,0.26277633325684735,Eliminated Week 8,True
3,8,Joey Lawrence,27.0,0.2401454183678274,3rd Place,False
3,8,Mario Lopez,28.5,0.23771160703593971,2nd Place,False
3,8,Emmitt Smith,27.0,0.25936664133938553,1st Place,False
4,2,John Ratzenberger,21.0,0.08365923558998938,Eliminated Week 7,False
4,2,Ian Ziering,22.0,0.07654107003302889,Eliminated Week 9,False
4,2,Clyde Drexler,18.0,0.08737417893905276,Eliminated Week 5,False
4,2,Laila Ali,27.0,0.1138805012636712,3rd Place,False
4,2,Apolo Anton Ohno,26.0,0.10452336472960358,1st Place,False
4,2,Shandi Finnessey,20.0,0.07042502639667987,Eliminated Week 3,False
4,2,Paulina Porizkova,21.0,0.05346587385430699,Eliminated Week 2,True
4,2,Heather Mills,24.0,0.11075304081536011,Eliminated Week 6,False
4,2,Billy Ray Cyrus,21.0,0.11482758204423175,Eliminated Week 8,False
4,2,Joey Fatone,24.0,0.10437656698397223,2nd Place,False
4,2,Leeza Gibbons,21.0,0.08017355935010324,Eliminated Week 4,False
4,3,John Ratzenberger,20.0,0.08761420272683376,Eliminated Week 7,False
4,3,Ian Ziering,24.0,0.1258286501827449,Eliminated Week 9,False
4,3,Clyde Drexler,16.0,0.10935333316161637,Eliminated Week 5,False
4,3,Laila Ali,21.0,0.08546440782461281,3rd Place,False
4,3,Apolo Anton Ohno,23.0,0.10113152805957337,1st Place,False
4,3,Shandi Finnessey,21.0,0.06586507229205117,Eliminated Week 3,True
4,3,Heather Mills,24.0,0.11464217838974869,Eliminated Week 6,False
4,3,Billy Ray Cyrus,21.0,0.1024089478719238,Eliminated Week 8,False
4,3,Joey Fatone,24.0,0.10272232150580568,2nd Place,False
4,3,Leeza Gibbons,24.0,0.1049693579850896,Eliminated Week 4,False
4,4,John Ratzenberger,16.0,0.09531588594580467,Eliminated Week 7,False
4,4,Ian Ziering,24.0,0.12115255491642335,Eliminated Week 9,False
4,4,Clyde Drexler,15.0,0.09156936330413545,Eliminated Week 5,False
4,4,Laila Ali,21.0,0.11511316071653156,3rd Place,False
4,4,Apolo Anton Ohno,26.0,0.12918953193525776,1st Place,False
4,4,Heather Mills,23.0,0.1232978241386274,Eliminated Week 6,False
4,4,Billy Ray Cyrus,21.0,0.10550706494442182,Eliminated Week 8,False
4,4,Joey Fatone,28.0,0.15055106474815086,2nd Place,False
4,4,Leeza Gibbons,16.0,0.0683035493506471,Eliminated Week 4,True
4,5,John Ratzenberger,18.0,0.10423260311034283,Eliminated Week 7,False
4,5,Ian Ziering,24.0,0.12315752193047896,Eliminated Week 9,False
4,5,Clyde Drexler,13.0,0.07692516172758275,Eliminated Week 5,True
4,5,Laila Ali,28.0,0.15887168760383144,3rd Place,False
4,5,Apolo Anton Ohno,30.0,0.176023692565605,1st Place,False
4,5,Heather Mills,21.0,0.09949151820551021,Eliminated Week 6,False
4,5,Billy Ray Cyrus,17.0,0.10934223249028494,Eliminated Week 8,False
4,5,Joey Fatone,25.0,0.15195558236636397,2nd Place,False
4,6,John Ratzenberger,19.0,0.1539849455745885,Eliminated Week 7,False
4,6,Ian Ziering,24.0,0.1477137773525057,Eliminated Week 9,False
4,6,Laila Ali,28.0,0.16347691371557319,3rd Place,False
4,6,Apolo Anton Ohno,28.0,0.18647488553665117,1st Place,False
4,6,Heather Mills,23.0,0.0799008715005144,Eliminated Week 6,True
4,6,Billy Ray Cyrus,21.0,0.11694790853755148,Eliminated Week 8,False
4,6,Joey Fatone,27.0,0.1515006977826156,2nd Place,False
4,7,John Ratzenberger,22.5,0.10302465043264206,Eliminated Week 7,True
4,7,Ian Ziering,27.0,0.1892653009578016,Eliminated Week 9,False
4,7,Laila Ali,29.5,0.19103092058310486,3rd Place,False
4,7,Apolo Anton Ohno,27.0,0.16445990329844054,1st Place,False
4,7,Billy Ray Cyrus,19.0,0.15566622938001048,Eliminated Week 8,False
4,7,Joey Fatone,29.5,0.19655299534800058,2nd Place,False
4,8,Ian Ziering,23.5,0.2250496401937684,Eliminated Week 9,False
4,8,Laila Ali,26.5,0.21608204932392303,3rd Place,False
4,8,Apolo Anton Ohno,29.0,0.19556492342345796,1st Place,False
4,8,Billy Ray Cyrus,19.0,0.13948297365237394,Eliminated Week 8,True
4,8,Joey Fatone,27.5,0.22382041340647668,2nd Place,False
4,9,Ian Ziering,29.0,0.25683627796048053,Eliminated Week 9,True
4,9,Laila Ali,30.0,0.249577688131406,3rd Place,False
4,9,Apolo Anton Ohno,29.5,0.24332668703594348,1st Place,False
4,9,Joey Fatone,30.0,0.2502593468721701,2nd Place,False
5,1,Cameron Mathison,21.0,0.09204101937695372,Eliminated Week 8,False
5,1,Jane Seymour,24.0,0.08941057455427985,Eliminated Week 7,False
5,1,Sabrina Bryan,26.0,0.1056751441771143,Eliminated Week 6,False
5,1,Jennie Garth,21.0,0.08020840579206158,Eliminated Week 9,False
5,1,Floyd Mayweather Jr. ,18.0,0.06725249567477672,Eliminated Week 4,False
5,1,Josie Maran,16.0,0.06753333008825103,Eliminated Week 1,True
5,1,Albert Reed,21.0,0.07227270866146428,Eliminated Week 2,False
5,1,Helio Castroneves,25.0,0.09722208432535571,1st Place,False
5,1,Mel B,24.0,0.08965049292031073,2nd Place,False
5,1,Wayne Newton,19.0,0.07451796252471951,Eliminated Week 3,False
5,1,Marie Osmond,21.0,0.07651106313977701,3rd Place,False
5,1,Mark Cuban,21.0,0.08770471876493563,Eliminated Week 5,False
5,2,Cameron Mathison,21.0,0.0950134540615289,Eliminated Week 8,False
5,2,Jane Seymour,21.0,0.0927495343255625,Eliminated Week 7,False
5,2,Sabrina Bryan,26.0,0.1071344352849971,Eliminated Week 6,False
5,2,Jennie Garth,21.0,0.08527517887997986,Eliminated Week 9,False
5,2,Floyd Mayweather Jr. ,21.0,0.08901428697515927,Eliminated Week 4,False
5,2,Albert Reed,21.0,0.05527036035458867,Eliminated Week 2,True
5,2,Helio Castroneves,27.0,0.11542427928825458,1st Place,False
5,2,Mel B,23.0,0.1008229887027661,2nd Place,False
5,2,Wayne Newton,15.0,0.09099464606887438,Eliminated Week 3,False
5,2,Marie Osmond,24.0,0.09378039280590038,3rd Place,False
5,2,Mark Cuban,18.0,0.0745204432523883,Eliminated Week 5,False
5,3,Cameron Mathison,23.0,0.07916231395319956,Eliminated Week 8,False
5,3,Jane Seymour,27.0,0.10926393152959582,Eliminated Week 7,False
5,3,Sabrina Bryan,27.0,0.11089183646651175,Eliminated Week 6,False
5,3,Jennie Garth,26.0,0.11065967972439461,Eliminated Week 9,False
5,3,Floyd Mayweather Jr. ,21.0,0.09351135410514241,Eliminated Week 4,False
5,3,Helio Castroneves,24.0,0.1056045772319325,1st Place,False
5,3,Mel B,27.0,0.11317596404497136,2nd Place,False
5,3,Wayne Newton,18.0,0.08139839062041171,Eliminated Week 3,True
5,3,Marie Osmond,26.0,0.10932182262162693,3rd Place,False
5,3,Mark Cuban,20.0,0.0870101297022134,Eliminated Week 5,False
5,4,Cameron Mathison,27.0,0.11421524914407805,Eliminated Week 8,False
5,4,Jane Seymour,26.0,0.10017767333371401,Eliminated Week 7,False
5,4,Sabrina Bryan,30.0,0.12845492662913172,Eliminated Week 6,False
5,4,Jennie Garth,27.0,0.1227470417804087,Eliminated Week 9,False
5,4,Floyd Mayweather Jr. ,23.0,0.0806432879759369,Eliminated Week 4,True
5,4,Helio Castroneves,27.0,0.11277146341466496,1st Place,False
5,4,Mel B,26.0,0.11290785498568494,2nd Place,False
5,4,Marie Osmond,26.0,0.12178818911941823,3rd Place,False
5,4,Mark Cuban,22.0,0.10629431361696258,Eliminated Week 5,False
5,5,Cameron Mathison,26.0,0.12422713380526654,Eliminated Week 8,False
5,5,Jane Seymour,26.0,0.1296326888342628,Eliminated Week 7,False
5,5,Sabrina Bryan,28.0,0.1395250129435944,Eliminated Week 6,False
5,5,Jennie Garth,25.0,0.12297282423434695,Eliminated Week 9,False
5,5,Helio Castroneves,23.0,0.11706626978646151,1st Place,False
5,5,Mel B,29.0,0.15507433854089508,2nd Place,False
5,5,Marie Osmond,21.0,0.11284589314465067,3rd Place,False
5,5,Mark Cuban,21.0,0.09865583871052207,Eliminated Week 5,True
5,6,Cameron Mathison,25.0,0.11450549458834436,Eliminated Week 8,False
5,6,Jane Seymour,22.0,0.15807382495084002,Eliminated Week 7,False
5,6,Sabrina Bryan,25.0,0.08398975087676595,Eliminated Week 6,True
5,6,Jennie Garth,27.0,0.15569646776044266,Eliminated Week 9,False
5,6,Helio Castroneves,28.0,0.1792175976452926,1st Place,False
5,6,Mel B,30.0,0.17468288149901715,2nd Place,False
5,6,Marie Osmond,23.0,0.1338339826792973,3rd Place,False
5,7,Cameron Mathison,25.5,0.17092009035429653,Eliminated Week 8,False
5,7,Jane Seymour,25.0,0.17413817791346478,Eliminated Week 7,True
5,7,Jennie Garth,26.5,0.1805474816450679,Eliminated Week 9,False
5,7,Helio Castroneves,26.0,0.15566912779771958,1st Place,False
5,7,Mel B,27.0,0.15865730539225215,2nd Place,False
5,7,Marie Osmond,26.0,0.16006781689719904,3rd Place,False
5,8,Cameron Mathison,25.5,0.13210994551844735,Eliminated Week 8,True
5,8,Jennie Garth,25.0,0.20541708874602235,Eliminated Week 9,False
5,8,Helio Castroneves,28.5,0.20219094883522018,1st Place,False
5,8,Mel B,28.0,0.19482873804852946,2nd Place,False
5,8,Marie Osmond,24.5,0.2654532788517807,3rd Place,False
5,9,Jennie Garth,29.0,0.19043370026113854,Eliminated Week 9,True
5,9,Helio Castroneves,30.0,0.24208604807763623,1st Place,False
5,9,Mel B,30.0,0.2659254402889754,2nd Place,False
5,9,Marie Osmond,28.0,0.30155481137224976,3rd Place,False
6,2,Cristian de la Fuente,20.0,0.08576153497077296,3rd Place,False
6,2,Steve Guttenberg,16.0,0.06273178196316324,Eliminated Week 3,False
6,2,Priscilla Presley,21.0,0.07058293250941125,Eliminated Week 5,False
6,2,Marlee Matlin,24.0,0.07851599386462108,Eliminated Week 6,False
6,2,Shannon Elizabeth,24.0,0.09998669919009498,Eliminated Week 7,False
6,2,Marissa Jaret Winokur,21.0,0.08957698827813079,Eliminated Week 9,False
6,2,Jason Taylor,27.0,0.0856292175428211,2nd Place,False
6,2,Kristi Yamaguchi,27.0,0.10277384495020371,1st Place,False
6,2,Monica Seles,15.0,0.06617253044139366,Eliminated Week 2,True
6,2,Penn Jillette,17.0,0.06933141238288419,Eliminated Week 2,False
6,2,Adam Carolla,19.0,0.08511297902079905,Eliminated Week 4,False
6,2,Mario,26.0,0.10382408488570401,Eliminated Week 8,False
6,3,Cristian de la Fuente,25.0,0.10364669110313329,3rd Place,False
6,3,Steve Guttenberg,21.0,0.07075753823268123,Eliminated Week 3,True
6,3,Priscilla Presley,26.0,0.12072661374800264,Eliminated Week 5,False
6,3,Marlee Matlin,21.0,0.09751118374409211,Eliminated Week 6,False
6,3,Shannon Elizabeth,24.0,0.1058701968605359,Eliminated Week 7,False
6,3,Marissa Jaret Winokur,19.0,0.09117570149798734,Eliminated Week 9,False
6,3,Jason Taylor,23.0,0.09743969414012922,2nd Place,False
6,3,Kristi Yamaguchi,27.0,0.11156060043496348,1st Place,False
6,3,Adam Carolla,21.0,0.10431786413932419,Eliminated Week 4,False
6,3,Mario,21.0,0.09699391609915052,Eliminated Week 8,False
6,4,Cristian de la Fuente,26.0,0.11711166769917618,3rd Place,False
6,4,Priscilla Presley,22.0,0.1068102317028291,Eliminated Week 5,False
6,4,Marlee Matlin,24.0,0.11031315828833613,Eliminated Week 6,False
6,4,Shannon Elizabeth,28.0,0.1250501881352722,Eliminated Week 7,False
6,4,Marissa Jaret Winokur,24.0,0.10622479780990249,Eliminated Week 9,False
6,4,Jason Taylor,29.0,0.12327738341609581,2nd Place,False
6,4,Kristi Yamaguchi,29.0,0.1264815636722682,1st Place,False
6,4,Adam Carolla,19.0,0.0851666396508291,Eliminated Week 4,True
6,4,Mario,24.0,0.09956436962529096,Eliminated Week 8,False
6,5,Cristian de la Fuente,23.0,0.1149153456040236,3rd Place,False
6,5,Priscilla Presley,21.0,0.09448328481406658,Eliminated Week 5,True
6,5,Marlee Matlin,22.0,0.11621944338844983,Eliminated Week 6,False
6,5,Shannon Elizabeth,23.0,0.1290966938619991,Eliminated Week 7,False
6,5,Marissa Jaret Winokur,24.0,0.12612896254611425,Eliminated Week 9,False
6,5,Jason Taylor,27.0,0.14378192499222045,2nd Place,False
6,5,Kristi Yamaguchi,29.0,0.13484243512087046,1st Place,False
6,5,Mario,27.0,0.14053190967225587,Eliminated Week 8,False
6,6,Cristian de la Fuente,27.0,0.159219368238424,3rd Place,False
6,6,Marlee Matlin,21.0,0.1300476015637802,Eliminated Week 6,True
6,6,Shannon Elizabeth,24.0,0.12789822869516157,Eliminated Week 7,False
6,6,Marissa Jaret Winokur,26.0,0.13713126575391915,Eliminated Week 9,False
6,6,Jason Taylor,24.0,0.13306000601408588,2nd Place,False
6,6,Kristi Yamaguchi,30.0,0.1655493829967018,1st Place,False
6,6,Mario,28.0,0.14709414673792745,Eliminated Week 8,False
6,7,Cristian de la Fuente,23.0,0.17570379984552004,3rd Place,False
6,7,Shannon Elizabeth,25.5,0.12569379984552007,Eliminated Week 7,True
6,7,Marissa Jaret Winokur,26.0,0.17073483879712203,Eliminated Week 9,False
6,7,Jason Taylor,27.5,0.18702404670126815,2nd Place,False
6,7,Kristi Yamaguchi,27.0,0.1780026439288599,1st Place,False
6,7,Mario,25.5,0.16284087088170981,Eliminated Week 8,False
6,8,Cristian de la Fuente,28.5,0.21785848388284512,3rd Place,False
6,8,Marissa Jaret Winokur,25.0,0.25702561314625816,Eliminated Week 9,False
6,8,Jason Taylor,26.0,0.2003009661376536,2nd Place,False
6,8,Kristi Yamaguchi,27.5,0.20113265702031843,1st Place,False
6,8,Mario,26.5,0.12368227981292483,Eliminated Week 8,True
6,9,Cristian de la Fuente,28.0,0.2616913673094862,3rd Place,False
6,9,Marissa Jaret Winokur,26.0,0.23026550150140937,Eliminated Week 9,True
6,9,Jason Taylor,27.5,0.25799123188486595,2nd Place,False
6,9,Kristi Yamaguchi,28.5,0.2500518993042385,1st Place,False
7,1,Ted McGinley,18.5,0.03120020735171042,Eliminated Week 1,True
7,1,Cloris Leachman,16.0,0.06655990905419765,Eliminated Week 6,False
7,1,Susan Lucci,18.5,0.07253734232038055,Eliminated Week 7,False
7,1,Cody Linley,20.5,0.08208616722696409,Eliminated Week 9,False
7,1,Misty May-Treanor,21.0,0.07087200062351291,Withdrew,False
7,1,Maurice Greene,19.5,0.07295526238063232,Eliminated Week 8,False
7,1,Warren Sapp,21.5,0.09684763261602569,2nd Place,False
7,1,Jeffrey Ross,12.0,0.06569296597240003,Eliminated Week 1,False
7,1,Toni Braxton,22.5,0.09137198354927321,Eliminated Week 5,False
7,1,Lance Bass,21.5,0.10944437946329028,3rd Place,False
7,1,Kim Kardashian,18.5,0.07760335470863906,Eliminated Week 2,False
7,1,Rocco DiSpirito,17.5,0.06663166456561294,Eliminated Week 4,False
7,1,Brooke Burke,24.5,0.0961971301673608,1st Place,False
7,2,Cloris Leachman,15.0,0.07862555754601476,Eliminated Week 6,False
7,2,Susan Lucci,21.0,0.1064477629744777,Eliminated Week 7,False
7,2,Cody Linley,21.0,0.08903151536378004,Eliminated Week 9,False
7,2,Misty May-Treanor,21.0,0.09869215178246771,Withdrew,False
7,2,Maurice Greene,19.0,0.0792828225263932,Eliminated Week 8,False
7,2,Warren Sapp,24.0,0.11505782829722234,2nd Place,False
7,2,Toni Braxton,23.0,0.10184401701582703,Eliminated Week 5,False
7,2,Lance Bass,20.0,0.10504760074900693,3rd Place,False
7,2,Kim Kardashian,17.0,0.04635749302988574,Eliminated Week 2,True
7,2,Rocco DiSpirito,16.0,0.07538843783774274,Eliminated Week 4,False
7,2,Brooke Burke,24.0,0.10422481287718183,1st Place,False
7,4,Cloris Leachman,22.0,0.113983534032403,Eliminated Week 6,False
7,4,Susan Lucci,24.0,0.13035366122947398,Eliminated Week 7,False
7,4,Cody Linley,23.0,0.11611820294208657,Eliminated Week 9,False
7,4,Maurice Greene,20.0,0.09067499783327936,Eliminated Week 8,False
7,4,Warren Sapp,22.0,0.12201110017770926,2nd Place,False
7,4,Toni Braxton,22.0,0.09768084727155826,Eliminated Week 5,False
7,4,Lance Bass,26.0,0.11715052065826559,3rd Place,False
7,4,Rocco DiSpirito,18.0,0.08478096688453737,Eliminated Week 4,True
7,4,Brooke Burke,26.0,0.12724616897068666,1st Place,False
7,5,Cloris Leachman,21.0,0.1438518756984347,Eliminated Week 6,False
7,5,Susan Lucci,22.0,0.12498073804258904,Eliminated Week 7,False
7,5,Cody Linley,28.0,0.13443159046357678,Eliminated Week 9,False
7,5,Maurice Greene,27.0,0.13939169496848197,Eliminated Week 8,False
7,5,Warren Sapp,25.0,0.10242943411257464,2nd Place,False
7,5,Toni Braxton,22.0,0.08501834628666997,Eliminated Week 5,True
7,5,Lance Bass,21.0,0.1438518756984347,3rd Place,False
7,5,Brooke Burke,29.0,0.12604444472923823,1st Place,False
7,6,Cloris Leachman,15.0,0.09979724948857564,Eliminated Week 6,True
7,6,Susan Lucci,23.0,0.1531923242108704,Eliminated Week 7,False
7,6,Cody Linley,23.0,0.13415749065398855,Eliminated Week 9,False
7,6,Maurice Greene,21.0,0.12469898285739398,Eliminated Week 8,False
7,6,Warren Sapp,25.0,0.1628699888684347,2nd Place,False
7,6,Lance Bass,27.0,0.18960012801869633,3rd Place,False
7,6,Brooke Burke,26.0,0.13568383590204044,1st Place,False
7,7,Susan Lucci,24.0,0.10059698338648584,Eliminated Week 7,True
7,7,Cody Linley,22.0,0.15060698338648582,Eliminated Week 9,False
7,7,Maurice Greene,25.0,0.16169154927780285,Eliminated Week 8,False
7,7,Warren Sapp,21.0,0.20060698338648586,2nd Place,False
7,7,Lance Bass,25.0,0.16922715504074282,3rd Place,False
7,7,Brooke Burke,30.0,0.2172703455219969,1st Place,False
7,8,Cody Linley,24.0,0.1912491255138995,Eliminated Week 9,False
7,8,Maurice Greene,24.0,0.19123912551389952,Eliminated Week 8,True
7,8,Warren Sapp,27.0,0.20772381459856704,2nd Place,False
7,8,Lance Bass,25.0,0.18704750360985542,3rd Place,False
7,8,Brooke Burke,27.5,0.22274043076377853,1st Place,False
7,9,Cody Linley,23.0,0.22391286567089763,Eliminated Week 9,True
7,9,Warren Sapp,24.5,0.238880392477741,2nd Place,False
7,9,Lance Bass,28.5,0.2870619946103558,3rd Place,False
7,9,Brooke Burke,24.5,0.25014474724100566,1st Place,False
8,2,Gilles Marini,27.0,0.09772247726548385,2nd Place,False
8,2,Denise Richards,21.0,0.07952595989370694,Eliminated Week 3,False
8,2,David Alan Grier,17.0,0.05906181995230561,Eliminated Week 5,False
8,2,Lawrence Taylor,20.0,0.06750372681397,Eliminated Week 7,False
8,2,Ty Murray,20.0,0.07249661126203776,Eliminated Week 10,False
8,2,Shawn Johnson,24.0,0.10570464502644253,1st Place,False
8,2,Steve Wozniak,17.0,0.059061819952305604,Eliminated Week 4,False
8,2,Belinda Carlisle,18.0,0.035796005998817236,Eliminated Week 2,True
8,2,Chuck Wicks,20.0,0.08818258865540056,Eliminated Week 8,False
8,2,Lil' Kim,23.0,0.0858650409294918,Eliminated Week 9,False
8,2,Steve-O,14.0,0.07068972692904975,Eliminated Week 6,False
8,2,Holly Madison,18.0,0.06670063285066305,Eliminated Week 4,False
8,2,Melissa Rycroft,26.0,0.11168894447032518,3rd Place,False
8,3,Gilles Marini,27.0,0.0966583110769067,2nd Place,False
